,label,ndvi,fdi
0,plastic,0.037683033154694234,0.014902002883878454
1,plastic,0.067289169006305,0.014133207589785188
2,plastic,0.08426189381054094,0.017518243488621146
3,plastic,0.1927877424169272,0.016957154363271068
4,plastic,0.2130226807272807,0.017593646103952115
5,plastic,0.09757654473461197,0.02274784357213619
6,plastic,0.08143815587832759,0.02482744355202042
7,plastic,0.1369880750842839,0.025255592268316945
8,plastic,0.10796769566001008,0.02512777706101027
9,plastic,0.08084949144486919,0.02743110480014943
10,plastic,0.0780172600144643,0.02765046096522203
11,plastic,0.17905164214655866,0.023876141233578688
12,plastic,0.17613106698331182,0.024491787964918868
13,plastic,0.19587573107319178,0.026259082332268896
14,plastic,0.14733125443613038,0.02650037168473933
15,plastic,0.13669670439563375,0.027639852582222957
16,plastic,0.16490955918448025,0.027817314262374576
17,plastic,0.18441493195243563,0.0291309069166375
18,plastic,0.15720134852562995,0.027854742020749668
19,plastic,0.13199783422908806,0.02889043753694226
20,plastic,0.150576290686665,0.029453079162203244
21,plastic,0.1874244157570728,0.030400129597715056
22,plastic,0.07201725386324143,0.028642397187885582
23,plastic,0.1446173407825363,0.03052860824043903
24,plastic,0.13675619946091144,0.030773971878100367
25,plastic,0.12794292306438781,0.03133487241646593
26,plastic,0.11067208423784358,0.03181541950577141
27,plastic,0.11436403583521404,0.03154264767498691
28,plastic,0.08422807889137107,0.03186435899648173
29,plastic,0.09506860492547842,0.03218316001441813
30,plastic,0.0993583380459927,0.03276831565935966
31,plastic,0.04836012260488931,0.033083495588132714
32,plastic,0.03686649445016699,0.03367248315571431
33,plastic,0.11681554070179057,0.03433277240714557
34,plastic,0.1456784304084533,0.032834783377840356
35,plastic,0.17494090152188269,0.03184934781304389
36,plastic,0.20073218642194612,0.033502545343440784
37,plastic,0.22123066396897284,0.034504404186128206
38,plastic,0.1559412091498088,0.035962006523349375
39,plastic,0.18868191407118529,0.038094693307992825
40,plastic,0.1507174021331702,0.03741468048753551
41,plastic,0.15506504774860153,0.03791603434962415
42,plastic,0.16036371096805035,0.038515372165825984
43,plastic,0.14976458294440242,0.039443206921240564
44,plastic,0.09112915079043116,0.03635508041205614
45,plastic,0.08368223058830282,0.038795820550778445
46,plastic,0.03363624457658054,0.03994461942414384
47,plastic,0.10581237769851981,0.04095756241062347
48,plastic,0.09235712160682008,0.04422708715801506
49,plastic,0.052882319785286014,0.04800177349716794
50,plastic,0.16010573864654742,0.04284635035706208
51,plastic,0.18831886115418828,0.04359336539354872
52,plastic,0.2059918862236655,0.043782548114369935
53,plastic,0.16978208612654755,0.043780353208627894
54,plastic,0.16102822807221073,0.044317888705684386
55,plastic,0.1724999524371038,0.045930757804425064
56,plastic,0.12559509660165824,0.04645263119860787
57,plastic,0.17891335566685562,0.05223600115361827
